# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Jun  8 11:32:01 2020
#
# User preference: *
#
# CONSTRAINT:  where (pl_bmassjstr not null
# CONSTRAINT:  and pl_radjstr not null)
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_controvflag: Controversial Flag
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i) Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i) Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i) Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN gaia_dist:      Gaia Distance [pc]
# COLUMN gaia_disterr1:  Gaia Distance Upper Unc. [pc]
# COLUMN gaia_disterr2:  Gaia Distance Lower Unc. [pc]
# COLUMN gaia_distlim:   Gaia Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_facility:    Discovery Facility
#
pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
HATS-55,b,HATS-55 b,Transit,0,1,4.20420010,0.00000330,-0.00000330,0,0.054120,0.000140,-0.000180,0,0.092000,,,1,86.320,0.084,-0.084,0,0.92100,0.07600,-0.07600,0,Mass,1.251,0.026,-0.026,0,0.58700,0.06200,-0.06200,0,0,0,0,0,07h37m08.0194s,114.283414,-32d45m19.5158s,-32.755421,623.60,6.20,-6.20,0,620.72,6.21,-6.21,0,13.470,0.040,0,V (Johnson),13.350,,0,6214.00,36.00,-36.00,0,1.20,0.01,-0.01,0,1.13,0.01,-0.01,0,2019-08-15,HATSouth
HATS-56,b,HATS-56 b,Transit,0,1,4.32479900,0.00002700,-0.00002700,0,0.060430,0.000220,-0.000220,0,0.019000,,,1,83.290,0.210,-0.210,0,0.60200,0.03500,-0.03500,0,Mass,1.688,0.039,-0.055,0,0.15500,0.01700,-0.01300,0,0,0,0,0,12h00m39.6300s,180.165125,-45d47m57.9955s,-45.799443,577.10,9.60,-9.60,0,573.49,11.57,-11.57,0,11.578,0.023,0,V (Johnson),11.488,,0,6536.00,31.00,-31.00,0,1.57,0.02,-0.02,0,2.20,0.04,-0.04,0,2019-08-15,HATSouth
HATS-57,b,HATS-57 b,Transit,0,1,2.35062100,0.00000130,-0.00000130,0,0.034930,0.000210,-0.000300,0,0.028000,,,1,87.880,0.400,-0.400,0,3.14700,0.07300,-0.07300,0,Mass,1.139,0.028,-0.028,0,2.65000,0.21000,-0.21000,0,0,0,0,0,04h03m47.6005s,60.948335,-19d03m24.3267s,-19.056757,280.00,2.90,-2.90,0,281.73,3.11,-3.11,0,12.344,0.047,0,V (Johnson),12.182,,0,5587.00,19.00,-19.00,0,1.03,0.02,-0.03,0,0.96,0.01,-0.01,0,2019-08-15,HATSouth
HATS-58 A,b,HATS-58 A b,Transit,0,1,4.21808960,0.00000890,-0.00000890,0,0.057980,0.000570,-0.000570,0,0.168000,,,1,85.690,0.330,-0.330,0,1.03000,0.23000,-0.23000,0,Mass,1.095,0.062,-0.062,0,0.96000,0.27000,-0.27000,0,0,0,0,0,12h27m08.9729s,186.787387,-48d58m42.2278s,-48.978397,492.00,21.00,-21.00,0,425.88,40.67,-40.67,0,11.552,0.019,0,V (Johnson),11.768,,0,7175.00,54.00,-54.00,0,1.46,0.04,-0.04,0,1.43,0.06,-0.06,0,2019-08-15,HATSouth
HATS-59,b,HATS-59 b,Transit,0,2,5.41608100,0.00001600,-0.00001600,0,0.061120,0.000760,-0.000760,0,0.129000,0.049000,-0.049000,0,88.100,0.330,-0.330,0,0.80600,0.06900,-0.06900,0,Mass,1.126,0.077,-0.077,0,0.70000,0.16000,-0.16000,0,0,0,0,0,11h21m18.00s,170.325000,-22d23m17.4s,-22.388167,654.88,14.06,-14.06,0,654.88,14.06,-14.06,0,13.951,0.030,0,V (Johnson),13.785,,0,5670.00,91.00,-91.00,0,1.04,0.04,-0.04,0,1.04,0.07,-0.07,0,2018-12-06,HATSouth
HATS-6,b,HATS-6 b,Transit,0,1,3.32527250,0.00000210,-0.00000210,0,0.036230,0.000420,-0.000570,0,0.000000,,,0,88.210,0.084,-0.084,0,0.31900,0.07000,-0.07000,0,Mass,0.998,0.019,-0.019,0,0.39900,0.08900,-0.08900,0,0,0,0,0,05h52m35.23s,88.146797,-19d01m54.0s,-19.031656,148.40,3.30,-3.30,0,170.14,1.06,-1.06,0,15.160,0.024,0,V (Johnson),14.360,,0,3724.00,18.00,-18.00,0,0.57,0.02,-0.03,0,0.57,0.01,-0.01,0,2015-05-14,HATSouth
HATS-60,b,HATS-60 b,Transit,0,1,3.56082900,0.00003200,-0.00003200,0,0.047080,0.000150,-0.000230,0,0.191000,,,0,86.280,0.350,-0.350,0,0.66200,0.05500,-0.05500,0,Mass,1.153,0.053,-0.053,0,0.53700,0.10000,-0.07000,0,0,0,0,0,22h45m27.3643s,341.364018,-14d59m30.3457s,-14.991763,494.30,7.80,-7.80,0,493.27,8.61,-8.61,0,12.641,0.028,0,V (Johnson),12.500,,0,5688.00,20.00,-20.00,0,1.10,0.01,-0.02,0,1.46,0.02,-0.02,0,2019-01-17,HATSouth
HATS-61,b,HATS-61 b,Transit,0,1,7.81795300,0.00002400,-0.00002400,0,0.079080,0.000330,-0.000330,0,0.092000,,,0,87.150,0.180,-0.180,0,3.40000,0.14000,-0.14000,0,Mass,1.195,0.067,-0.067,0,2.47000,0.44000,-0.44000,0,0,0,0,0,04h06m37.8676s,61.657782,-25d20m58.9560s,-25.349710,694.00,8.80,-8.80,0,693.41,8.91,-8.91,0,13.233,0.024,0,V (Johnson),13.068,,0,5542.00,21.00,-21.00,0,1.08,0.01,-0.01,0,1.66,0.02,-0.02,0,2019-01-17,HATSouth
HATS-62,b,HATS-62 b,Transit,0,1,3.27688370,0.00000330,-0.00000330,0,0.041630,0.000240,-0.000160,0,0.298000,,,0,87.920,0.350,-0.350,0,0.17900,,,0,Mass,1.055,0.025,-0.025,0,0.07600,0.05300,-0.05300,0,0,0,0,0,20h49m47.8333s,312.449305,-24d18m12.4965s,-24.303471,516.80,10.90,-6.10,0,530.82,10.45,-10.45,0,14.015,0.037,0,V (Johnson),13.832,,0,5416.00,19.00,-13.00,0,0.90,0.01,-0.01,0,0.93,0.02,-0.01,0,2019-01-17,HATSouth
HATS-63,b,HATS-63 b,Transit,0,1,3.05665270,0.00000490,-0.00000490,0,0.040260,0.000280,-0.000280,0,0.136000,,,0,84.860,0.190,-0.190,0,0.96000,0.12000,-0.12000,0,Mass,1.207,0.039,-0.039,0,0.67000,0.11000,-0.11000,0,0,0,0,0,04h29m40.4529s,67.418554,-28d11m50.2340s,-28.197287,634.80,6.20,-6.20,0,634.68,6.21,-6.21,0,13.892,0.009,0,V (Johnson),13.721,,0,5627.00,18.00,-18.00,0,0.93,0.02,-0.02,0,1.07,0.01,-0.01,0,2019-01-17,HATSouth
HATS-64,b,HATS-64 b,Transit,0,1,4.90889700,0.00001300,-0.00001300,0,0.065620,0.000390,-0.000390,0,0.151000,,,0,87.240,0.850,-0.850,0,0.96000,0.20000,-0.20000,0,Mass,1.679,0.081,-0.081,0,0.24500,0.06800,-0.05000,0,0,0,0,0,09h37m09.0299s,144.287625,-29d48m01.5746s,-29.800437,1083.00,36.00,-36.00,0,1114.58,43.04,-43.04,0,12.924,0.030,0,V (Johnson),12.839,,0,6554.00,27.00,-27.00,0,1.56,0.03,-0.03,0,2.11,0.07,-0.07,0,2019-01-17,HATSouth
HATS-65,b,HATS-65 b,Transit,0,1,3.10516100,0.00000160,-0.00000160,0,0.044970,0.000330,-0.000330,0,0.062000,,,0,84.820,0.260,-0.260,0,0.82100,0.08300,-0.08300,0,Mass,1.501,0.050,-0.050,0,0.30000,0.03900,-0.03900,0,0,0,0,0,19h31m45.5518s,292.939799,-26d44m24.7250s,-26.740201,495.00,10.00,-10.00,0,499.94,12.54,-12.54,0,12.497,0.020,0,V (Johnson),12.379,,0,6277.00,30.00,-30.00,0,1.26,0.03,-0.03,0,1.31,0.03,-0.03,0,2019-01-17,HATSouth
HATS-66,b,HATS-66 b,Transit,0,1,3.14143910,0.00000740,-0.00000740,0,0.047140,0.000250,-0.000250,0,0.064000,,,0,87.060,0.920,-0.920,0,5.33000,0.68000,-0.68000,0,Mass,1.411,0.084,-0.084,0,2.34000,0.56000,-0.43000,0,0,0,0,0,06h45m34.7574s,101.394823,-33d52m54.1300s,-33.881703,1538.00,34.00,-34.00,0,1544.12,38.73,-38.73,0,14.095,0.030,0,V (Johnson),14.009,,0,6626.00,35.00,-35.00,0,1.41,0.02,-0.02,0,1.84,0.04,-0.04,0,2019-01-17,HATSouth
HATS-67,b,HATS-67 b,Transit,0,1,1.60917880,0.00000400,-0.00000400,0,0.030320,0.000150,-0.000150,0,0.057000,,,0,79.030,0.260,-0.260,0,1.45000,0.12000,-0.12000,0,Mass,1.685,0.047,-0.047,0,0.37400,0.04700,-0.04700,0,0,0,0,0,12h00m50.1183s,180.208826,-46d08m11.1247s,-46.136424,982.00,19.00,-19.00,0,987.07,24.60,-24.60,0,13.653,0.010,0,V (Johnson),13.560,,0,6594.00,33.00,-33.00,0,1.44,0.02,-0.02,0,1.44,0.03,-0.03,0,2019-01-17,HATSouth
HATS-68,b,HATS-68 b,Transit,0,1,3.58622020,0.00000470,-0.00000470,0,0.050710,0.000180,-0.000180,0,0.036000,,,0,83.210,0.190,-0.190,0,1.29000,0.05900,-0.05900,0,Mass,1.232,0.039,-0.029,0,0.85600,0.08300,-0.08300,0,0,0,0,0,01h00m01.4134s,15.005889,-58d54m17.1247s,-58.904757,618.20,9.30,-9.30,0,614.58,10.48,-10.48,0,12.276,0.020,0,V (Johnson),12.163,,0,6147.00,22.00,-22.00,0,1.35,0.01,-0.01,0,1.75,0.03,-0.03,0,2019-01-17,HATSouth
HATS-69,b,HATS-69 b,Transit,0,1,2.22525770,0.00000190,-0.00000190,0,0.032110,0.000140,-0.000190,0,0.519000,,,0,88.490,0.550,-0.550,0,0.57700,,,0,Mass,0.945,0.022,-0.022,0,0.46000,0.25000,-0.25000,0,0,0,0,0,19h17m11.3641s,289.297350,-60d53m30.0584s,-60.891683,420.30,3.20,-3.20,0,419.53,3.57,-3.57,0,13.945,0.010,0,V (Johnson),13.764,,0,5137.00,16.00,-16.00,0,0.89,0.01,-0.02,0,0.88,0.01,-0.01,0,2019-01-17,HATSouth
HATS-7,b,HATS-7 b,Transit,0,1,3.18531500,0.00000540,-0.00000540,0,0.040120,0.000430,-0.000430,0,0.170000,,,1,87.920,0.750,-0.750,0,0.12000,0.01200,-0.01200,0,Mass,0.563,0.046,-0.034,0,0.83000,0.18000,-0.18000,0,0,0,0,0,13h55m25.68s,208.856995,-21d12m27.7s,-21.207695,257.00,15.00,-12.00,0,242.38,1.65,-1.65,0,13.340,0.010,0,V (Johnson),13.050,,0,4985.00,50.00,-50.00,0,0.85,0.03,-0.03,0,0.81,0.05,-0.04,0,2018-05-24,HATSouth
HATS-70,b,HATS-70 b,Transit,0,1,1.88823780,0.00000150,-0.00000150,0,0.036320,0.000740,-0.000870,0,0.180000,,,1,86.700,1.600,-1.900,0,12.90000,1.80000,-1.60000,0,Mass,1.384,0.079,-0.074,0,6.64000,1.60000,-1.30000,0,0,0,0,0,07h16m25.08s,109.104500,-31d14m39.86s,-31.244406,1307.00,60.00,-62.00,0,1519.95,70.65,-70.65,0,12.574,0.028,0,V (Johnson),12.586,,0,7930.00,630.00,-820.00,0,1.78,0.12,-0.12,0,1.88,0.06,-0.07,0,2019-02-14,HATSouth
HATS-72,b,HATS-72 b,Transit,0,1,7.32794740,0.00000160,-0.00000160,0,0.066517,0.000085,-0.000085,0,0.013000,,,1,89.560,0.070,-0.050,0,0.12540,0.00390,-0.00390,0,Mass,0.722,0.003,-0.003,0,0.41100,0.01500,-0.01000,0,0,0,0,1,22h36m06.3190s,339.026329,-16d59m59.7882s,-16.999941,127.66,0.52,-0.52,0,128.06,0.61,-0.61,0,12.469,0.010,0,V (Johnson),12.073,,0,4656.10,8.90,-8.90,0,0.73,0.00,0.00,0,0.72,0.00,0.00,0,2020-02-27,HATSouth
HATS-8,b,HATS-8 b,Transit,0,1,3.58389300,0.00001000,-0.00001000,0,0.046670,0.000550,-0.000550,0,0.376000,,,1,87.800,1.200,-1.800,0,0.13800,0.01900,-0.01900,0,Mass,0.873,0.123,-0.075,0,0.25900,0.09100,-0.09100,0,0,0,0,0,19h39m46.02s,294.941746,-25d44m53.9s,-25.748318,829.00,110.00,-48.00,0,812.65,19.67,-19.67,0,14.030,0.100,0,V (Johnson),14.337,,0,5679.00,50.00,-50.00,0,1.06,0.04,-0.04,0,1.09,0.15,-0.06,0,2015-06-17,HATSouth
HD 106315,b,HD 106315 b,Transit,0,2,9.55237000,0.00089000,-0.00089000,0,0.090700,0.001000,-0.001000,0,0.093000,0.110000,-0.068000,0,87.540,0.320,-0.320,0,0.03964,0.01007,-0.01007,0,Mass,0.218,0.015,-0.015,0,4.70000,1.70000,-1.70000,0,0,0,1,1,12h13m53.39s,183.472473,-00d23m36.5s,-0.393484,109.00,5.00,-5.00,0,109.69,0.69,-0.69,0,8.951,0.018,0,V (Johnson),8.888,,0,6327.00,48.00,-48.00,0,1.09,0.04,-0.04,0,1.30,0.06,-0.06,0,2019-07-25,K2
HD 106315,c,HD 106315 c,Transit,0,2,21.05704000,0.00046000,-0.00046000,0,0.153600,0.001700,-0.001700,0,0.220000,0.150000,-0.150000,0,88.610,0.700,-0.250,0,0.04782,0.01164,-0.01164,0,Mass,0.388,0.021,-0.021,0,1.01000,0.29000,-0.29000,0,0,0,1,0,12h13m53.39s,183.472473,-00d23m36.5s,-0.393484,109.00,5.00,-5.00,0,109.69,0.69,-0.69,0,8.951,0.018,0,V (Johnson),8.888,,0,6327.00,48.00,-48.00,0,1.09,0.04,-0.04,0,1.30,0.06,-0.06,0,2019-07-25,K2
HD 1397,b,HD 1397 b,Transit,0,1,11.53533000,0.00079000,-0.00080000,0,0.109700,0.001100,-0.001300,0,0.251000,0.020000,-0.019000,0,88.990,0.670,-0.730,0,0.41500,0.02000,-0.02000,0,Mass,1.026,0.025,-0.027,0,0.47700,0.04300,-0.03800,0,0,0,0,1,00h17m47.15s,4.446472,-66d21m32.1s,-66.358910,79.75,0.17,-0.17,0,79.75,0.17,-0.17,0,7.781,0.011,0,V (Johnson),7.593,,0,5521.00,60.00,-60.00,0,1.32,0.04,-0.05,0,2.34,0.05,-0.06,0,2019-07-25,Transiting Exoplanet Survey Satellite (TESS)
HD 149026,b,HD 149026 b,Radial Velocity,0,1,2.87589000,0.00000200,-0.00000200,0,,,,,0.000000,,,0,84.550,0.580,-0.580,0,0.38000,0.06000,-0.06000,0,Mass,0.740,0.020,-0.020,0,,,,,0,0,0,1,16h30m29.62s,247.623413,+38d20m50.3s,38.347309,76.03,0.17,-0.17,0,76.03,0.17,-0.17,0,8.150,,0,V (Johnson),8.014,,0,6179.00,15.00,-15.00,0,1.42,0.33,-0.33,0,1.41,0.03,-0.03,0,2018-04-26,Subaru Telescope
HD 15337,b,HD 15337 b,Transit,0,2,4.75615000,0.00017000,-0.00017000,0,0.052200,0.001200,-0.001200,0,0.090000,0.050000,-0.050000,0,88.500,0.600,-0.400,0,0.02363,0.00343,-0.00318,0,Mass,0.146,0.005,-0.005,0,9.30000,1.81000,-1.58000,0,0,0,0,1,02h27m28.38s,36.868240,-27d38m06.7s,-27.635206,44.87,0.07,-0.07,0,44.87,0.07,-0.07,0,9.088,0.018,0,V (Johnson),8.856,,0,5125.00,50.00,-50.00,0,0.90,0.03,-0.03,0,0.86,0.02,-0.02,0,2019-05-16,Transiting Exoplanet Survey Satellite (TESS)
HD 15337,c,HD 15337 c,Transit,0,2,17.17840000,0.00160000,-0.00160000,0,0.126800,0.003800,-0.003800,0,0.050000,0.060000,-0.040000,0,88.500,0.200,-0.100,0,0.02552,0.00573,-0.00532,0,Mass,0.213,0.011,-0.011,0,3.23000,0.90000,-0.72000,0,0,0,0,1,02h27m28.38s,36.868240,-27d38m06.7s,-27.635206,44.87,0.07,-0.07,0,44.87,0.07,-0.07,0,9.088,0.018,0,V (Johnson),8.856,,0,5125.00,50.00,-50.00,0,0.90,0.03,-0.03,0,0.86,0.02,-0.02,0,2019-05-16,Transiting Exoplanet Survey Satellite (TESS)
HD 17156,b,HD 17156 b,Radial Velocity,0,1,21.21663000,0.00045000,-0.00045000,0,,,,,0.680000,0.000000,0.000000,0,87.820,0.170,-0.170,0,3.51000,0.21000,-0.21000,0,Mass,1.100,0.030,-0.030,0,,,,,0,0,0,0,02h49m44.49s,42.435364,+71d45m11.6s,71.753235,78.26,0.24,-0.24,0,78.26,0.24,-0.24,0,8.172,0.031,0,V (Johnson),8.033,,0,6040.00,24.00,-24.00,0,1.41,0.12,-0.12,0,1.55,0.04,-0.04,0,2018-04-26,Subaru Telescope
HD 189733,b,HD 189733 b,Radial Velocity,0,1,2.21857567,0.00000015,-0.00000015,0,,,,,0.000000,,,0,85.710,0.000,0.000,0,1.13000,0.08000,-0.08000,0,Mass,1.130,0.010,-0.010,0,,,,,0,0,0,0,20h00m43.71s,300.182129,+22d42m39.1s,22.710854,19.78,0.01,-0.01,0,19.78,0.01,-0.01,0,7.670,0.030,0,V (Johnson),7.414,,0,5052.00,16.00,-16.00,0,0.79,0.08,-0.08,0,0.75,0.01,-0.01,0,2018-12-06,Haute-Provence Observatory
HD 202772 A,b,HD 202772 A b,Transit,0,1,3.30895800,0.00008300,-0.00008300,0,0.052080,0.000640,-0.000680,0,0.038000,0.042000,-0.027000,0,84.510,1.100,-0.820,0,1.01700,0.07000,-0.06800,0,Mass,1.545,0.052,-0.060,0,0.34300,0.04300,-0.03500,0,0,0,0,0,21h18m47.901s,319.699588,-26d36m58.95s,-26.616375,147.20,2.50,-2.40,0,162.19,2.43,-2.43,0,,,,,8.227,,0,6272.00,77.00,-71.00,0,1.72,0.06,-0.07,0,2.59,0.08,-0.09,0,2019-01-31,Transiting Exoplanet Survey Satellite (TESS)
HD 209458,b,HD 209458 b,Radial Velocity,0,1,3.52474859,0.00000038,-0.00000038,0,,,,,0.000000,,,0,86.710,0.050,-0.050,0,0.73000,0.04000,-0.04000,0,Mass,1.390,0.020,-0.020,0,,,,,0,0,0,3,22h03m10.77s,330.794891,+18d53m03.5s,18.884319,48.37,0.12,-0.12,0,48.37,0.12,-0.12,0,7.632,0.012,0,V (Johnson),7.509,,0,6091.00,10.00,-10.00,0,1.23,0.09,-0.09,0,1.19,0.02,-0.02,0,2018-12-06,W. M. Keck Observatory
HD 213885,b,HD 213885 b,Transit,0,2,1.00803500,0.00002100,-0.00002000,0,0.020120,0.000150,-0.000120,0,0.000000,,,0,80.090,0.620,-0.500,0,0.02778,0.00208,-0.00205,0,Mass,0.156,0.005,-0.005,0,9.15000,1.10000,-1.00000,0,0,0,0,0,22h35m56.32s,338.984650,-59d51m52.1s,-59.864468,47.97,0.14,-0.14,0,48.16,0.10,-0.10,0,7.996,0.002,0,V (Johnson),7.802,,0,5978.00,50.00,-50.00,0,1.07,0.02,-0.02,0,1.10,0.01,-0.01,0,2019-12-05,Transiting Exoplanet Survey Satellite (TESS)
GJ 143,c,HD 21749 c,Transit,0,2,7.78993000,0.00051000,-0.00044000,0,0.069500,0.002100,-0.002300,0,,,,,88.900,0.500,-0.370,0,0.01164,,,1,Mass,0.080,0.006,-0.005,0,31.93000,,,1,0,0,0,0,03h26m59.22s,51.746769,-63d29m56.8s,-63.499100,16.33,0.01,-0.01,0,16.33,0.01,-0.01,0,7.870,,0,V (Johnson),7.679,,0,4640.00,100.00,-100.00,0,0.73,0.07,-0.07,0,0.69,0.03,-0.03,0,2019-04-25,Transiting Exoplanet Survey Satellite (TESS)
HD 219134,b,HD 219134 b,Radial Velocity,0,6,3.09292600,0.00001000,-0.00001000,0,0.038760,0.000470,-0.000470,0,0.000000,,,0,85.050,0.090,-0.090,0,0.01491,0.00060,-0.00060,0,Mass,0.143,0.005,-0.005,0,6.34000,0.72000,-0.72000,0,0,0,0,0,23h13m16.98s,348.320740,+57d10m06.1s,57.168354,6.53,0.00,0.00,0,6.53,0.00,0.00,0,5.570,,0,V (Johnson),5.208,,0,4699.00,16.00,-16.00,0,0.81,0.03,-0.03,0,0.78,0.01,-0.01,0,2017-03-16,Roque de los Muchachos Observatory
HD 219134,c,HD 219134 c,Radial Velocity,0,6,6.76458000,0.00033000,-0.00033000,0,0.065300,0.000800,-0.000800,0,0.062000,0.039000,-0.039000,0,87.280,0.100,-0.100,0,0.01372,0.00069,-0.00069,0,Mass,0.135,0.004,-0.004,0,6.95000,0.77000,-0.77000,0,0,0,0,0,23h13m16.98s,348.320740,+57d10m06.1s,57.168354,6.53,0.00,0.00,0,6.53,0.00,0.00,0,5.570,,0,V (Johnson),5.208,,0,4699.00,16.00,-16.00,0,0.81,0.03,-0.03,0,0.78,0.01,-0.01,0,2017-03-16,Roque de los Muchachos Observatory
HD 219134,d,HD 219134 d,Radial Velocity,0,6,46.85900000,0.02800000,-0.02800000,0,0.237000,0.003000,-0.003000,0,0.138000,0.025000,-0.025000,0,,,,,0.05088,0.00201,-0.00201,-1,Mass,0.144,0.002,-0.002,-1,,,,,0,0,0,0,23h13m16.98s,348.320740,+57d10m06.1s,57.168354,6.53,0.00,0.00,0,6.53,0.00,0.00,0,5.570,,0,V (Johnson),5.208,,0,4699.00,16.00,-16.00,0,0.81,0.03,-0.03,0,0.78,0.01,-0.01,0,2017-03-16,Roque de los Muchachos Observatory
HD 219134,f,HD 219134 f,Radial Velocity,1,6,22.71700000,0.01500000,-0.01500000,0,0.146300,0.001800,-0.001800,0,0.148000,0.047000,-0.047000,0,,,,,0.02297,0.00126,-0.00126,-1,Mass,0.117,0.002,-0.002,-1,,,,,0,0,0,1,23h13m16.98s,348.320740,+57d10m06.1s,57.168354,6.53,0.00,0.00,0,6.53,0.00,0.00,0,5.570,,0,V (Johnson),5.208,,0,4699.00,16.00,-16.00,0,0.81,0.03,-0.03,0,0.78,0.01,-0.01,0,2017-03-16,Multiple Observatories
HD 219666,b,HD 219666 b,Transit,0,1,6.03607000,0.00064000,-0.00063000,0,0.063560,0.002650,-0.002650,0,0.000000,,,0,86.380,0.150,-0.150,0,0.05223,0.00409,-0.00409,0,Mass,0.420,0.015,-0.015,0,0.87000,0.12000,-0.11000,0,0,0,0,0,23h18m13.630s,349.556792,-56d54m13.630s,-56.903786,94.43,0.25,-0.25,0,94.43,0.25,-0.25,0,,,,,9.650,,0,5527.00,65.00,-65.00,0,0.92,0.03,-0.03,0,1.03,0.03,-0.03,0,2019-03-05,Transiting Exoplanet Survey Satellite (TESS)
